Breed,Type_of_disorder,Disease,Predisposition_to_disease,Size,Group_UK,Group_AKC,Alternative_breed_names
doberman pinscher,inherited eye disorders,microphthalmia,have an increased incidence,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited musculoskeletal disorders,panosteitis,have an increased incidence,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited skin disorders,pemphigus foliaceous,have an increased incidence,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),may be inherited,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited eye disorders,retinal dysplasia,may be inherited,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited skin disorders,seborrhea,have an increased incidence,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited skin disorders,vitiligo,have an increased incidence,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited blood disorders,von willebrand's disease,most important,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited skin disorders,zinc-responsive dermatosis,have an increased incidence,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited gastrointestinal disorders,chronic hepatitis,have an increased incidence,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited skin disorders,colour dilution alopecia,have an increased incidence,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited cardiovascular disorders,dilated cardiomyopathy,most important,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited disorders of the urinary and reproductive systems,familial kidney disease,have an increased incidence,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited skin disorders,follicular dysplasias,have an increased incidence,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited skin disorders,ichthyosis,have an increased incidence,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited blood disorders,immune-mediated hemolytic anemia (imha),have an increased incidence,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited nervous system disorders,peripheral neuropathies,have an increased incidence,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited skin disorders,sebaceous adenitis,may be inherited,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
english foxhound,inherited nervous system disorders,leukodystrophies,have an increased incidence,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited eye disorders,cataract,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited disorders of the urinary and reproductive systems,cryptorchidism,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,none,distichiasis,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited eye disorders,ectropion,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited eye disorders,entropion,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,none,factor ii deficiency or hypoprothrombinemia,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited eye disorders,glaucoma,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited blood disorders,hemophilia a,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,none,intersex,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited endocrine disorders,hypothyroidism,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,none,juvenile amaurotic idiocy,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited eye disorders,lens luxation,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,none,neuronal ceroid lipofuscinosis,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,none,osteochondritis dissecans,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,none,osteochondrosis,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited cardiovascular disorders,patent ductus arteriosus,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited eye disorders,persistent pupillary membrane,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,none,pseudohermaphrodism (pseudohermaphroditism),none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited eye disorders,retinal dysplasia,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,none,swimmer puppies,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited blood disorders,von willebrand's disease,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
english foxhound,inherited nervous system disorders,deafness,none,large,hound,hound,"english foxhound, foxhound, english foxhound"
german spitz,inherited skin disorders,acral mutilation,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,inherited eye disorders,cataract,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,inherited eye disorders,corneal dystrophy,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,inherited eye disorders,entropion,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,none,eversion of nictitating membrane,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,none,familial amaurotic idiocy,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,none,fibrosarcoma,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,inherited musculoskeletal disorders,hip dysplasia,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,none,addison's disease (hypoadrenocorticism),none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,inherited endocrine disorders,hypothyroidism,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,none,juvenile amaurotic idiocy,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,none,lipidosis,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,inherited skin disorders,lymphedema,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,inherited nervous system disorders,lysosomal storage diseases,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,none,melanoma,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,none,neuronal ceroid lipofuscinosis,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,none,osteochondritis dissecans,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,none,osteochondrosis,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,inherited eye disorders,pannus,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,inherited cardiovascular disorders,subaortic stenosis,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,none,thrombocytopathy,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
german spitz,inherited blood disorders,von willebrand's disease,none,small,utility,foundation stock service,"german spitz, deutscher spitz"
miniature bull terrier,inherited eye disorders,lens luxation,have an increased incidence,medium,terrier,terrier,"miniature bull terrier, miniature bull terrier, bull terrier, miniature bull terrier, bull terrier - miniature"
miniature bull terrier,inherited eye disorders,persistent pupillary membrane,have an increased incidence,medium,terrier,terrier,"miniature bull terrier, miniature bull terrier, bull terrier, miniature bull terrier, bull terrier - miniature"
portuguese podengo pequeno,none,none,none,small,hound,hound,portuguese podengo pequeno
pudelpointer,inherited eye disorders,cataract,none,large,gundog,foundation stock service,pudelpointer
pudelpointer,none,distichiasis,none,large,gundog,foundation stock service,pudelpointer
pudelpointer,none,addison's disease (hypoadrenocorticism),none,large,gundog,foundation stock service,pudelpointer
pudelpointer,inherited endocrine disorders,hypothyroidism,none,large,gundog,foundation stock service,pudelpointer
pudelpointer,none,lipidosis,none,large,gundog,foundation stock service,pudelpointer
pudelpointer,inherited nervous system disorders,lysosomal storage diseases,none,large,gundog,foundation stock service,pudelpointer
pudelpointer,inherited eye disorders,persistent pupillary membrane,none,large,gundog,foundation stock service,pudelpointer
pudelpointer,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),none,large,gundog,foundation stock service,pudelpointer
pudelpointer,inherited skin disorders,sebaceous adenitis,none,large,gundog,foundation stock service,pudelpointer
pudelpointer,inherited nervous system disorders,storage disease,none,large,gundog,foundation stock service,pudelpointer
russell terrier,none,behavioral abnormalities,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited eye disorders,cataract,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited endocrine disorders,diabetes mellitus,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,none,distichiasis,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited eye disorders,ectropion,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited musculoskeletal disorders,elbow dysplasia,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited eye disorders,entropion,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited musculoskeletal disorders,eosinophilic panosteitis,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,none,folliculitis,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,none,fragmented coronoid process,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited blood disorders,hemolytic anemia,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited musculoskeletal disorders,hip dysplasia,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,none,addison's disease (hypoadrenocorticism),none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,none,"hypopigmentation, lips and nose",none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited endocrine disorders,hypothyroidism,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,none,intestinal malabsorption,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,none,lymphocytic thyroiditis,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited musculoskeletal disorders,panosteitis,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited eye disorders,persistent pupillary membrane,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,none,retinal detachment,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited eye disorders,retinal dysplasia,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited cardiovascular disorders,subaortic stenosis,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited immune disorders,thrombocytopenia,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,none,thyroiditis,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,none,vasculitis,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited skin disorders,vitiligo,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
russell terrier,inherited blood disorders,von willebrand's disease,none,small,terrier,terrier,"russell terrier, f.c.i. jack russell terrier, parson (jack) russell terrier"
scottish deerhound,inherited cardiovascular disorders,dilated cardiomyopathy,most important,large,hound,hound,"scottish deerhound, deerhound, scottish deerhound"
scottish deerhound,inherited gastrointestinal disorders,gastric dilatation-volvulus,most important,large,hound,hound,"scottish deerhound, deerhound, scottish deerhound"
scottish deerhound,inherited musculoskeletal disorders,osteochondrodysplasia - skeletal dwarfism,have an increased incidence,large,hound,hound,"scottish deerhound, deerhound, scottish deerhound"
scottish deerhound,inherited eye disorders,cataract,none,large,hound,hound,"scottish deerhound, deerhound, scottish deerhound"
scottish deerhound,inherited endocrine disorders,diabetes mellitus,none,large,hound,hound,"scottish deerhound, deerhound, scottish deerhound"
scottish deerhound,none,distichiasis,none,large,hound,hound,"scottish deerhound, deerhound, scottish deerhound"
scottish deerhound,inherited eye disorders,entropion,none,large,hound,hound,"scottish deerhound, deerhound, scottish deerhound"
scottish deerhound,inherited endocrine disorders,hypothyroidism,none,large,hound,hound,"scottish deerhound, deerhound, scottish deerhound"
scottish deerhound,none,legg-perthes disease,none,large,hound,hound,"scottish deerhound, deerhound, scottish deerhound"
scottish deerhound,none,narrow palpebral fissure,none,large,hound,hound,"scottish deerhound, deerhound, scottish deerhound"
scottish deerhound,inherited skin disorders,pemphigus foliaceous,none,large,hound,hound,"scottish deerhound, deerhound, scottish deerhound"
scottish deerhound,inherited eye disorders,persistent pupillary membrane,none,large,hound,hound,"scottish deerhound, deerhound, scottish deerhound"
scottish deerhound,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),none,large,hound,hound,"scottish deerhound, deerhound, scottish deerhound"
silky terrier,inherited eye disorders,cataract,may be inherited,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,none,legg-perthes disease,have an increased incidence,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,none,patella luxation,have an increased incidence,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited skin disorders,colour dilution alopecia,may be inherited,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited nervous system disorders,leukodystrophies,have an increased incidence,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,none,castration responsive dermatosis,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited eye disorders,corneal dystrophy,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,none,discoid lupus erythematosus,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited eye disorders,entropion,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,none,eosinophilic granuloma,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited eye disorders,glaucoma,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited blood disorders,hemophilia a,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited musculoskeletal disorders,hip dysplasia,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited endocrine disorders,hypothyroidism,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited eye disorders,lens luxation,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,none,osteochondritis dissecans,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,none,osteochondrosis,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited eye disorders,pannus,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited eye disorders,persistent pupillary membrane,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited eye disorders,retinal dysplasia,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited skin disorders,vitiligo,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,none,vogt-koyanagi-harada-like syndrome,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited blood disorders,von willebrand's disease,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited skin disorders,zinc-responsive dermatosis,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
silky terrier,inherited disorders of the urinary and reproductive systems,cryptorchidism,none,small,toy,toy,"silky terrier, silky, australian silky terrier, australian terrier, silky terrier"
small munsterlander pointer,none,none,none,large,gundog,foundation stock service,"small munsterlander pointer, pointer (english pointer)"
spanish mastiff,none,allergies,none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
spanish mastiff,inherited skin disorders,atopy,none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
spanish mastiff,inherited eye disorders,cataract,none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
spanish mastiff,none,atopic dermatitis,none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
spanish mastiff,none,addison's disease (hypoadrenocorticism),none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
spanish mastiff,inherited endocrine disorders,hypothyroidism,none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
spanish mastiff,none,intestinal malabsorption,none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
spanish mastiff,inherited eye disorders,optic nerve hypoplasia,none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
spanish mastiff,inherited eye disorders,persistent pupillary membrane,none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
spanish mastiff,none,posterior retinal atrophy,none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
spanish mastiff,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
spanish mastiff,none,renal dysplasia,none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
spanish mastiff,inherited eye disorders,retinal dysplasia,none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
spanish mastiff,inherited blood disorders,von willebrand's disease,none,large,working,foundation stock service,"spanish mastiff, spanish mastiff, mastín español de campo y trabajo, mastín ganadero, mastín leonés, mastín extremeño, mastiff"
standard schnauzer,inherited eye disorders,cataract,have an increased incidence,medium,utility,working,"standard schnauzer, mittelschnauzer, schnauzer, wirehair pinscher (obsolete), schnauzer, standard"
standard schnauzer,inherited musculoskeletal disorders,hip dysplasia,most important,medium,utility,working,"standard schnauzer, mittelschnauzer, schnauzer, wirehair pinscher (obsolete), schnauzer, standard"
standard schnauzer,inherited eye disorders,keratoconjunctivitis sicca,have an increased incidence,medium,utility,working,"standard schnauzer, mittelschnauzer, schnauzer, wirehair pinscher (obsolete), schnauzer, standard"
standard schnauzer,inherited cardiovascular disorders,pulmonic stenosis,may be inherited,medium,utility,working,"standard schnauzer, mittelschnauzer, schnauzer, wirehair pinscher (obsolete), schnauzer, standard"
standard schnauzer,inherited eye disorders,retinal dysplasia,may be inherited,medium,utility,working,"standard schnauzer, mittelschnauzer, schnauzer, wirehair pinscher (obsolete), schnauzer, standard"
chihuahua,inherited musculoskeletal disorders,patellar luxation,none,small,toy,toy,"chihuahua, chihuahueno, chi, chihuahua"
chihuahua,inherited skin disorders,pattern baldness,none,small,toy,toy,"chihuahua, chihuahueno, chi, chihuahua"
dachshund,inherited blood disorders,pyruvate kinase (pk) deficiency,none,medium,hound,hound,"dachshund, teckel (bnl/fr/ger), dackel (ger), weenie dog (us) (s.am.), wiener dog/hotdog (us), sausage dog (uk/us/aus/za), salsichinha (br), bassotto (i), sosis (tr), perro salchicha (es/mx), worshond (za), taksis (lv), jamnik (pl), badger dog (literal translation), tax (se), dachshund"
dachshund,inherited endocrine disorders,hyperadrenocorticism (cushing's syndrome),none,medium,hound,hound,"dachshund, teckel (bnl/fr/ger), dackel (ger), weenie dog (us) (s.am.), wiener dog/hotdog (us), sausage dog (uk/us/aus/za), salsichinha (br), bassotto (i), sosis (tr), perro salchicha (es/mx), worshond (za), taksis (lv), jamnik (pl), badger dog (literal translation), tax (se), dachshund"
dachshund,inherited eye disorders,dermoids,none,medium,hound,hound,"dachshund, teckel (bnl/fr/ger), dackel (ger), weenie dog (us) (s.am.), wiener dog/hotdog (us), sausage dog (uk/us/aus/za), salsichinha (br), bassotto (i), sosis (tr), perro salchicha (es/mx), worshond (za), taksis (lv), jamnik (pl), badger dog (literal translation), tax (se), dachshund"
dachshund,inherited musculoskeletal disorders,intervertebral disk disease,none,medium,hound,hound,"dachshund, teckel (bnl/fr/ger), dackel (ger), weenie dog (us) (s.am.), wiener dog/hotdog (us), sausage dog (uk/us/aus/za), salsichinha (br), bassotto (i), sosis (tr), perro salchicha (es/mx), worshond (za), taksis (lv), jamnik (pl), badger dog (literal translation), tax (se), dachshund"
dachshund,inherited nervous system disorders,intervertebral disk disease,none,medium,hound,hound,"dachshund, teckel (bnl/fr/ger), dackel (ger), weenie dog (us) (s.am.), wiener dog/hotdog (us), sausage dog (uk/us/aus/za), salsichinha (br), bassotto (i), sosis (tr), perro salchicha (es/mx), worshond (za), taksis (lv), jamnik (pl), badger dog (literal translation), tax (se), dachshund"
dachshund,inherited skin disorders,pattern baldness,none,medium,hound,hound,"dachshund, teckel (bnl/fr/ger), dackel (ger), weenie dog (us) (s.am.), wiener dog/hotdog (us), sausage dog (uk/us/aus/za), salsichinha (br), bassotto (i), sosis (tr), perro salchicha (es/mx), worshond (za), taksis (lv), jamnik (pl), badger dog (literal translation), tax (se), dachshund"
doberman pinscher,inherited cardiovascular disorders,atrial septal defect (asd),none,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited musculoskeletal disorders,cervical vertebral instability (wobbler syndrome),none,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited musculoskeletal disorders,intervertebral disk disease,none,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited nervous system disorders,intervertebral disk disease,none,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
doberman pinscher,inherited nervous system disorders,cervical vertebral instability (wobbler syndrome),none,large,working,working,"doberman pinscher, doberman, dobie, dobynm, doberman pinscher"
american english coonhound,none,none,none,none,none,hound,"american english coonhound, english coonhound, redtick coonhound"
american eskimo dog,none,pyruvate kinase deficiency of erythrocyte,have an increased incidence,none,none,non-sporting,"american eskimo dog, eskimo spitz, american spitz, german spitz, eskie, american eskimo dog"
american hairless terrier,none,none,none,none,none,terrier,"american hairless terrier, aht"
american leopard hound,none,none,none,none,none,foundation stock service,american leopard hound
american staffordshire terrier,inherited eye disorders,cataract,may be inherited,none,none,terrier,"american staffordshire terrier, amstaff, american staffordshire terrier"
american staffordshire terrier,inherited skin disorders,demodicosis,most important,none,none,terrier,"american staffordshire terrier, amstaff, american staffordshire terrier"
american staffordshire terrier,inherited musculoskeletal disorders,hip dysplasia,have an increased incidence,none,none,terrier,"american staffordshire terrier, amstaff, american staffordshire terrier"
american staffordshire terrier,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),may be inherited,none,none,terrier,"american staffordshire terrier, amstaff, american staffordshire terrier"
american staffordshire terrier,inherited disorders of the urinary and reproductive systems,disorders of sexual development - sexual reversal,have an increased incidence,none,none,terrier,"american staffordshire terrier, amstaff, american staffordshire terrier"
american staffordshire terrier,inherited gastrointestinal disorders,cleft lip,none,none,none,terrier,"american staffordshire terrier, amstaff, american staffordshire terrier"
american staffordshire terrier,inherited gastrointestinal disorders,cleft palate,none,none,none,terrier,"american staffordshire terrier, amstaff, american staffordshire terrier"
american staffordshire terrier,none,distichiasis,none,none,none,terrier,"american staffordshire terrier, amstaff, american staffordshire terrier"
american staffordshire terrier,inherited eye disorders,entropion,none,none,none,terrier,"american staffordshire terrier, amstaff, american staffordshire terrier"
american staffordshire terrier,inherited endocrine disorders,hypothyroidism,none,none,none,terrier,"american staffordshire terrier, amstaff, american staffordshire terrier"
american staffordshire terrier,inherited musculoskeletal disorders,muscular dystrophy,none,none,none,terrier,"american staffordshire terrier, amstaff, american staffordshire terrier"
american staffordshire terrier,none,osteochondritis dissecans,none,none,none,terrier,"american staffordshire terrier, amstaff, american staffordshire terrier"
american staffordshire terrier,none,osteochondrosis,none,none,none,terrier,"american staffordshire terrier, amstaff, american staffordshire terrier"
american water spaniel,inherited eye disorders,cataract,may be inherited,medium,gundog,sporting,"american water spaniel, american brown spaniel, american brown water, aws, american water spaniel"
american water spaniel,inherited musculoskeletal disorders,hip dysplasia,have an increased incidence,medium,gundog,sporting,"american water spaniel, american brown spaniel, american brown water, aws, american water spaniel"
american water spaniel,none,pattern alopecia or baldness,have an increased incidence,medium,gundog,sporting,"american water spaniel, american brown spaniel, american brown water, aws, american water spaniel"
american water spaniel,inherited eye disorders,retinal dysplasia,may be inherited,medium,gundog,sporting,"american water spaniel, american brown spaniel, american brown water, aws, american water spaniel"
american water spaniel,inherited skin disorders,growth hormone-responsive dermatosis; adrenal sex hormone responsive dermatosis,have an increased incidence,medium,gundog,sporting,"american water spaniel, american brown spaniel, american brown water, aws, american water spaniel"
american water spaniel,none,intersex,none,medium,gundog,sporting,"american water spaniel, american brown spaniel, american brown water, aws, american water spaniel"
australian kelpie,none,cerebellar cortical abiotrophy,have an increased incidence,none,none,foundation stock service,"australian kelpie, kelpie, barb, farmer dog, australian kelpie"
australian kelpie,inherited skin disorders,cutaneous asthenia,may be inherited,none,none,foundation stock service,"australian kelpie, kelpie, barb, farmer dog, australian kelpie"
